어류,패류,두족류,갑각류,해조류,기타
복어,바지락,낙지,새우,진두발,개불
장어,백합,주꾸미,가재,김,해파리
아귀,고둥,오징어,게,미역,상어
잉어,홍합,문어,,코토니,멍게
칼고기,꼬막,꼴뚜기,,다시마,해삼
붕어,키조개,,,톳,해물혼합
홍어,가리비,,,우뭇가사리,성게
밴댕이,우렁이,,,돌가사리,식용자라
쥐치,조개,,,꼬시래기,
럼프피쉬,대합,,,옥덩굴,
동사리,전복,,,청각,
틸라피아,굴,,,감태,
청어,재첩,,,실말,
메기,다슬기,,,갈래곰보,
망둑어,동죽,,,,
대구,골뱅이,,,,
드렁허리,소라,,,,
쏘가리,,,,,
가자미,,,,,
다랑어,,,,,
농어,,,,,
구라미,,,,,
고등어,,,,,
가물치,,,,,
빙어,,,,,
가다랑어,,,,,
새치,,,,,
등목어,,,,,
볼락,,,,,
갈치,,,,,
병어,,,,,
농어,,,,,
도미,,,,,
민어,,,,,
전갱이,,,,,
연어,,,,,
방어,,,,,
가오리,,,,,
미꾸라지,,,,,
날치,,,,,
매퉁이,,,,,
만새기,,,,,
성대,,,,,
퓨질리어,,,,,
꽁치,,,,,
송어,,,,,
붉평치,,,,,
갈치꼬치,,,,,
바리,,,,,
서대,,,,,
삼치,,,,,
동치,,,,,
숭어,,,,,
넙치,,,,,
까나리,,,,,
달고기,,,,,
쏨뱅이,,,,,
